LocationID,ARPLatitude,ARPLongitude
'NIN,60-01-12.8430N,151-35-21.9070W
'WTK,67-33-40.2000N,162-58-49.5000W
'OME,64-30-45.1893N,165-26-39.7339W
'94Z,64-30-41.1202N,165-23-24.8288W
'5NN,59-58-48.8290N,154-50-21.0290W
'D76,66-49-03.1000N,161-01-20.1000W
'5AK3,64-46-23.4740N,147-20-01.6880W
'95Z,64-45-33.2000N,147-23-15.5000W
'AK41,64-32-38.0000N,146-50-39.0000W
'5AK2,64-43-50.4720N,147-20-51.6720W
'78AA,64-46-18.3400N,147-14-48.0900W
'0AK0,64-23-33.0000N,146-51-43.5000W
'AA76,64-46-10.0000N,147-19-46.0000W
'96Z,56-06-58.7180N,133-07-18.1750W
'ORT,62-57-40.2000N,141-55-41.1000W
'33AK,62-31-02.1220N,150-56-43.2300W
'AK20,70-25-14.2400N,150-53-12.0000W
'AQT,70-12-35.4000N,151-00-23.3000W
'AK32,70-29-43.5200N,150-15-12.4800W
'AA27,70-24-50.7600N,150-01-06.9300W
'NUL,64-43-45.6000N,158-04-27.2000W
'16A,60-54-21.6000N,162-26-26.1000W
'ZNC,60-58-50.3590N,159-59-37.2660W
'6R7,57-13-05.9000N,153-16-11.3950W
'KOY,57-09-41.2290N,154-13-47.2560W
'Z17,63-08-45.3100N,156-31-44.0700W
'4K5,57-56-31.7586N,152-27-53.9750W
'AK46,61-37-43.7900N,149-02-35.4800W
'AA08,61-35-41.0000N,149-09-14.0000W
'3AK6,61-35-34.6200N,149-16-08.1800W
'AK1,61-31-49.1350N,149-01-03.4900W
'34AK,61-37-30.1400N,149-17-18.8900W
'5AK6,61-33-25.2400N,149-16-05.8400W
'AK88,61-36-16.9100N,149-02-24.6800W
'9AA1,61-40-55.3100N,149-17-26.6500W
'99Z,61-36-33.2500N,149-15-48.7500W
'14AK,61-36-08.8800N,149-14-52.8000W
'39AK,61-35-09.7000N,149-14-09.5300W
'2D3,61-37-39.7900N,149-14-20.6500W
'5AK9,61-32-54.6700N,149-11-25.1200W
'AK93,61-39-18.6500N,149-16-24.5600W
'97AK,61-39-50.4000N,149-15-12.9600W
'AK66,61-27-27.4800N,148-47-43.2900W
'AK92,61-38-16.8400N,149-01-44.0800W
'92AK,61-33-44.0800N,149-15-37.1700W
'3AK2,61-37-39.0000N,149-17-12.2300W
'PAQ,61-35-41.6890N,149-05-19.3610W
'AK63,61-35-19.0000N,149-08-33.0000W
'AK50,61-33-16.4500N,149-08-40.0000W
'9AK1,61-37-51.1300N,149-13-54.4400W
'7AK9,61-38-48.5900N,149-02-54.7400W
'AA85,61-36-59.1100N,149-13-15.7100W
'05AK,61-40-07.1800N,149-11-14.6000W
'4AK6,61-38-27.4900N,149-17-19.5000W
'PXK,63-01-28.4880N,145-30-01.9830W
'4K0,59-47-49.0000N,154-07-47.9000W
'PEC,57-57-18.6200N,136-14-10.5840W
'PYL,60-41-07.0330N,147-55-07.4500W
'PEV,55-54-24.2050N,159-09-38.9850W
'63A,56-48-40.7510N,132-57-36.2040W
'PSG,56-48-05.3000N,132-56-46.4000W
'PNP,57-34-49.3700N,157-34-19.0450W
'UGB,57-25-31.2890N,157-44-23.5160W
'0AK,61-56-04.4000N,162-53-58.4000W
'PTU,59-01-04.1900N,161-49-37.8900W
'6AK1,58-54-42.1770N,161-42-50.0100W
